,0
AASDH,1.0
ABHD10,1.0
ABTB1,1.0
ADAMTS8,1.0
ADCK5,1.0
ADGRG4,1.0
ADO,1.0
AFF2,1.0
AGAP1,1.0
AGT,1.0
ALPPL2,1.0
AMD1,1.0
AMDHD1,1.0
ANKMY1,1.0
ANXA13,1.0
AR,1.0
ARAP3,1.0
ARL6,1.0
ASPSCR1,1.0
ATAD2,1.0
ATP2B3,1.0
B3GNT6,1.0
B4GALNT2,1.0
BCORL1,1.0
BHMT,1.0
BMX,1.0
C1QB,1.0
C2ORF16,1.0
C2ORF81,1.0
C6ORF10,1.0
CACHD1,1.0
CACNA1F,1.0
CACNA1H,1.0
CCDC102A,1.0
CCDC110,1.0
CCER1,1.0
CCND1,1.0
CCNL1,1.0
CDR1,1.0
CEACAM7,1.0
CEBPA,1.0
CEP152,1.0
CHRNA4,1.0
CHST5,1.0
CLCN2,1.0
CLCNKB,1.0
CNGA2,1.0
CNGA3,1.0
CRIPAK,1.0
CSF2RA,1.0
CTAG2,1.0
CTNNA1,1.0
CYP11A1,1.0
CYP11B1,1.0
CYSLTR2,1.0
DCAF12L1,1.0
DCAF12L2,1.0
DENND4B,1.0
DKC1,1.0
DNASE2,1.0
DNER,1.0
DNMT1,1.0
DOCK11,1.0
DOK2,1.0
DOT1L,1.0
DPYD,1.0
DTD2,1.0
EFCAB3,1.0
EIF3A,1.0
ELF3,1.0
ELF4,1.0
ENC1,1.0
ENO1,1.0
EPAS1,1.0
ESPN,1.0
ETV4,1.0
F13A1,1.0
FCRL4,1.0
FGD6,1.0
FLNA,1.0
FMO4,1.0
FMR1NB,1.0
FOXP1,1.0
FPGS,1.0
GALNS,1.0
GBP4,1.0
GLTSCR1L,1.0
GLUD2,1.0
GNA11,1.0
GNAQ,1.0
GPC5,1.0
GPR101,1.0
GPR50,1.0
GPR87,1.0
HCN1,1.0
HNRNPM,1.0
HRAS,1.0
HRC,1.0
HSD17B11,1.0
HSPA1L,1.0
IARS,1.0
IDH2,1.0
IDUA,1.0
IGSF1,1.0
IKZF1,1.0
IRS4,1.0
JMY,1.0
KANK3,1.0
KBTBD13,1.0
KCNJ3,1.0
KCNT2,1.0
KCNV2,1.0
KIF13B,1.0
KLHL1,1.0
KLHL23,1.0
KLRK1,1.0
KRT20,1.0
KRTAP1.3,1.0
L1CAM,1.0
LCT,1.0
LMTK3,1.0
LPAR4,1.0
LRRC43,1.0
MAFA,1.0
MAGEB3,1.0
MAGEC1,1.0
MAMLD1,1.0
MAP2K7,1.0
MAPK14,1.0
MCF2,1.0
MDC1,1.0
MEPCE,1.0
MMP3,1.0
MSH4,1.0
MTMR8,1.0
MYBBP1A,1.0
MYC,1.0
NARS2,1.0
NBN,1.0
NBPF1,1.0
NBPF15,1.0
NCR1,1.0
NID2,1.0
NKD1,1.0
NOD1,1.0
NOL9,1.0
NOTCH3,1.0
NOTCH4,1.0
NOX5,1.0
NPIPA5,1.0
NPIPB15,1.0
NPIPB6,1.0
NPM1,1.0
NR1H3,1.0
NTRK1,1.0
NUCB1,1.0
NUDT11,1.0
OBP2B,1.0
OCRL,1.0
OGDHL,1.0
OPRD1,1.0
OR11H1,1.0
OR2J2,1.0
OR4C5,1.0
OR4D2,1.0
OR4D5,1.0
PAK3,1.0
PARD6B,1.0
PARK2,1.0
PASD1,1.0
PDK3,1.0
PGM5,1.0
PHF6,1.0
PIM1,1.0
PKD2,1.0
PLA2G2E,1.0
PLEKHA7,1.0
PLXNB3,1.0
PODXL,1.0
POLR3C,1.0
PPP2R1A,1.0
PPP4C,1.0
PROS1,1.0
PRPS1L1,1.0
PSG11,1.0
PTK2B,1.0
PTPN11,1.0
PTPRD,1.0
RARA,1.0
RARG,1.0
RBM4,1.0
RBM47,1.0
RGAG1,1.0
RGPD3,1.0
RHOA,1.0
RINL,1.0
RIT1,1.0
RNF128,1.0
RNF149,1.0
RNF43,1.0
RPL14,1.0
RPUSD1,1.0
RRP36,1.0
RSRC2,1.0
RYBP,1.0
SAGE1,1.0
SAMD11,1.0
SCAF1,1.0
SKI,1.0
SLC13A2,1.0
SLC27A2,1.0
SLC28A2,1.0
SLC4A2,1.0
SLITRK4,1.0
SOX2,1.0
SOX4,1.0
SPON2,1.0
SPOP,1.0
SRPX,1.0
STAG2,1.0
STOX1,1.0
SYT8,1.0
TAB3,1.0
TAF5,1.0
TBC1D25,1.0
TBX3,1.0
TENM1,1.0
TMEM189,1.0
TMEM247,1.0
TNXB,1.0
TOB1,1.0
TOP3B,1.0
TRIM15,1.0
TTC31,1.0
U2AF1,1.0
UGT2B10,1.0
UHRF1BP1L,1.0
VCAM1,1.0
VCX3B,1.0
VEGFC,1.0
VHL,1.0
VPS52,1.0
WBSCR17,1.0
ZBTB20,1.0
ZBTB22,1.0
ZBTB7B,1.0
ZFP57,1.0
ZMYM3,1.0
ZNF281,1.0
ZNF486,1.0
ZNF517,1.0
ZNF598,1.0
ZNF700,1.0
ZNF787,1.0
ABCC12.p,1.0
ACR.n-ADM2.n-ALG12.n-ARSA.n-BRD1.n-C22ORF34.n-CHKB.n-CPT1B.n-CRELD2.n-DENND6B.n-HDAC10.n-IL17REL.n-KLHDC7B.n-LMF2.n-MAPK11.n-MAPK12.n-MAPK8IP2.n-MIOX.n-MLC1.n-MOV10L1.n-NCAPH2.n-ODF3B.n-PANX2.n-PIM3.n-PLXNB2.n-RABL2B.n-SBF1.n-SCO2.n-SHANK3.n-SYCE3.n-TRABD.n-TUBGCP6.n-TYMP.n-ZBED4.n,1.0
ACTN2.n,1.0
ADGB.n,1.0
ADGRB3.p,1.0
ADGRB3.n,1.0
AGBL4.n,1.0
AKAP10.n,1.0
AKR1C8P.n,1.0
ANG.n-RNASE4.n,1.0
ANHX.p-LRCOL1.p,1.0
ANHX.n-LRCOL1.n,1.0
ANKRD33B.p,1.0
ANKS1B.n,1.0
AOC2.n,1.0
AOC3.n,1.0
AP5B1.p,1.0
AP5S1.n,1.0
ARHGDIG.p-AXIN1.p-CAPN15.p-DECR2.p-FAM234A.p-HBQ1.p-LUC7L.p-MPG.p-MRPL28.p-NME4.p-PDIA2.p-PIGQ.p-POLR3K.p-RAB11FIP3.p-RGS11.p-RHBDF1.p-SNRNP25.p-TMEM8A.p,1.0
ARHGEF40.n,1.0
ASIP.p,1.0
ATG7.n,1.0
ATP8A2.n,1.0
AUTS2.p,1.0
BAGE.n,1.0
BAGE3.n-BAGE4.n-BAGE5.n,1.0
BAIAP3.p,1.0
BCAT1.p,1.0
BCL11A.p,1.0
BDH1.p,1.0
BEND3.n,1.0
C11ORF44.n,1.0
C11ORF58.n,1.0
C12ORF77.p,1.0
C14ORF144.n,1.0
C16ORF47.p,1.0
C16ORF47.n,1.0
C17ORF89.p-SLC38A10.p,1.0
C18ORF63.n,1.0
C20ORF187.p,1.0
C3ORF84.n,1.0
C4ORF48.p,1.0
C4ORF50.n,1.0
C6ORF203.n,1.0
C8ORF49.p,1.0
C8ORF49.n,1.0
C9ORF147.p,1.0
C9ORF147.n,1.0
C9ORF84.n,1.0
CACNA1C.p,1.0
CACNA1C.n,1.0
CACNA2D4.p,1.0
CBWD3.p,1.0
CBWD3.n,1.0
CCDC168.n,1.0
CCDC6.n,1.0
CCDC73.p,1.0
CCNE1.n,1.0
CCSER1.n,1.0
CCT2.p,1.0
CD58.n,1.0
CDC16.n-CHAMP1.n-UPF3A.n,1.0
CDC25B.n,1.0
CDH13.n,1.0
CDK6.p,1.0
CDKN1B.n,1.0
CDKN2B.p,1.0
CDRT15L2.n,1.0
CDRT7.n,1.0
CECR2.p,1.0
CECR2.n,1.0
CENPP.n,1.0
CEP131.p,1.0
CEP192.p,1.0
CHD1.p,1.0
CHMP2B.p,1.0
CHODL.n,1.0
CLEC18B.n,1.0
CLN5.n,1.0
CNTN1.n,1.0
CNTN4.n,1.0
CPM.p,1.0
CTF1.n,1.0
CTSD.p-FAM99B.p,1.0
CYP2E1.p-FRG2B.p-SYCE1.p,1.0
CYSLTR2.p,1.0
CYSLTR2.n,1.0
DCP1B.p,1.0
DEFB113.n-DEFB114.n,1.0
DIP2C.p,1.0
DKFZP434A062.n,1.0
DKFZP434E1119.p,1.0
DLEU7.n,1.0
DMD.p,1.0
DMD.n,1.0
DR1.n,1.0
DUX4.n,1.0
DUX4L2.n-DUX4L3.n-DUX4L6.n,1.0
DUX4L4.n,1.0
DUX4L5.p,1.0
DUX4L5.n,1.0
DUX4L7.p,1.0
DUX4L7.n,1.0
ECT2L.n,1.0
EDDM3A.n,1.0
EDDM3B.n-RNASE1.n-RNASE6.n,1.0
EDNRB.n,1.0
EFR3B.n,1.0
ENTHD2.p,1.0
ERBB4.n,1.0
ERG.p,1.0
ERG.n,1.0
FABP3.n,1.0
FAM138F.n,1.0
FAM157A.p,1.0
FAM174A.n,1.0
FAM19A5.n,1.0
FAM20C.p-PDGFA.p,1.0
FAM214B.n,1.0
FAM215B.n,1.0
FAM60A.n,1.0
FAM72C.p,1.0
FAM90A26.n-USP17L15.n-USP17L23.n,1.0
FBXL19.n,1.0
FBXL21.p,1.0
FGF19.n,1.0
FHIT.n,1.0
FIP1L1.p,1.0
FKBP1C.n,1.0
FKSG49.p,1.0
FKSG49.n,1.0
FLJ36000.n,1.0
FLRT3.p,1.0
FLRT3.n,1.0
FOXP1.n,1.0
FRS2.p,1.0
FTO.n,1.0
FYTTD1.p,1.0
G6PD.p,1.0
G6PD.n,1.0
GATA6.p,1.0
GJE1.n,1.0
GLRA1.p,1.0
GMDS.n,1.0
GPHN.n,1.0
GRID2.p,1.0
GRID2IP.p,1.0
GSE1.p,1.0
GTSCR1.n,1.0
HBA1.p-HBA2.p-HBM.p-HBZ.p-NPRL3.p,1.0
HIST2H3A.p-HIST2H3C.p,1.0
HMGB1.n,1.0
HRH1.n,1.0
HRH2.n,1.0
HS3ST4.n,1.0
IFNL2.p,1.0
IFNL4.p,1.0
IGF2.p,1.0
IGHA1.n-IGHA2.n-IGHD.n-IGHE.n-IGHG1.n-IGHG2.n-IGHG3.n-IGHG4.n-IGHJ1.n-IGHJ2.n-IGHJ3.n-IGHJ4.n-IGHJ5.n-IGHJ6.n-IGHM.n,1.0
IGLC1.n-IGLC2.n-IGLC3.n-IGLC7.n-IGLJ1.n-IGLJ2.n-IGLJ3.n-IGLJ4.n-IGLJ5.n-IGLJ6.n-IGLJ7.n,1.0
IKZF2.n,1.0
IL7R.n,1.0
IMMP2L.n,1.0
INAFM2.n,1.0
INS.p-TH.p,1.0
ITFG1.p,1.0
ITFG1.n,1.0
ITGAV.p,1.0
ITGAV.n,1.0
ITGB3.p,1.0
ITM2B.n,1.0
KATNAL1.p,1.0
KATNAL1.n,1.0
KCNIP1.p,1.0
KCNJ18.n,1.0
KCNMB2.n,1.0
KCTD1.p,1.0
KCTD1.n,1.0
KIAA0825.p,1.0
KIF16B.p,1.0
KIF26B.n,1.0
KIRREL3.p,1.0
KIRREL3.n,1.0
KLF5.p,1.0
KLF5.n,1.0
KLK13.n,1.0
KMT2A.p,1.0
KMT2A.n,1.0
KMT2B.p,1.0
KMT2B.n,1.0
KPNB1.n,1.0
LANCL2.p,1.0
LDLRAD3.n,1.0
LMO7DN.p,1.0
LMO7DN.n,1.0
LNX2.p,1.0
LRMP.p,1.0
LRRC53.n,1.0
LRRD1.p,1.0
LRRN1.n,1.0
LRRN2.p,1.0
LRRN3.n,1.0
LRRTM4.n,1.0
LSAMP.p,1.0
LSAMP.n,1.0
LYPD8.p,1.0
MACROD1.p,1.0
MACROD2.n,1.0
MAML2.n,1.0
MAML3.p,1.0
MAN1A2.p,1.0
MAN1A2.n,1.0
MANSC4.p,1.0
MAP3K1.p,1.0
MAP3K4.p,1.0
MARCH1.p,1.0
MDM2.p,1.0
MECOM.n,1.0
MGMT.n,1.0
MIPOL1.n,1.0
MITF.n,1.0
MLIP.n,1.0
MLYCD.n,1.0
MMP8.n,1.0
MPHOSPH6.n,1.0
MRLN.p,1.0
MRLN.n,1.0
MRPL41.n,1.0
MTRNR2L1.n,1.0
MUC5AC.n,1.0
MUC8.p,1.0
MUC8.n,1.0
MXRA5.p,1.0
MXRA5.n,1.0
MYO18B.n,1.0
MYOM2.n,1.0
MYRFL.p,1.0
MYZAP.n,1.0
NAMPTP1.p,1.0
NAMPTP1.n,1.0
NBPF15.p,1.0
