,0
ABTB1,1.0
ADAM11,1.0
ADGRE1,1.0
ADPRHL2,1.0
AGBL1,1.0
AMBN,1.0
ARHGAP26,1.0
ARL6,1.0
ASZ1,1.0
ATP4A,1.0
AXIN1,1.0
B3GNT6,1.0
B4GALNT2,1.0
BCL11B,1.0
C17ORF97,1.0
C1QB,1.0
CABLES1,1.0
CCDC102A,1.0
CCER1,1.0
CD1D,1.0
CD209,1.0
CDKN1A,1.0
CHRNA4,1.0
CLCN2,1.0
CLCNKB,1.0
CRIPAK,1.0
CRYBA2,1.0
CSF2RA,1.0
DDX10,1.0
DLL4,1.0
DNASE2,1.0
DTD2,1.0
EID3,1.0
ELF4,1.0
EPHA6,1.0
EPHX1,1.0
ETV3,1.0
ETV4,1.0
F2,1.0
FAM109A,1.0
FAM129B,1.0
FAM65A,1.0
FCN1,1.0
FFAR2,1.0
FGB,1.0
FGFR3,1.0
FHOD3,1.0
FMO4,1.0
FOXA1,1.0
FPGS,1.0
FZD9,1.0
GALNT18,1.0
GATA3,1.0
GDPD2,1.0
GIMAP8,1.0
GLYATL2,1.0
GPR87,1.0
HHAT,1.0
HHIPL1,1.0
HNF1A,1.0
HNRNPA2B1,1.0
HNRNPK,1.0
IARS,1.0
IDH1,1.0
IDH2,1.0
IDUA,1.0
IFNW1,1.0
IL32,1.0
KANK3,1.0
KBTBD13,1.0
KCNH1,1.0
KCNJ3,1.0
KCNK5,1.0
KCNV2,1.0
KHDRBS2,1.0
KIF3C,1.0
KLRK1,1.0
KRTAP1.5,1.0
KRTAP5.1,1.0
LCE2A,1.0
LILRB1,1.0
LILRB5,1.0
LPAR4,1.0
LZTS1,1.0
MAFA,1.0
MAPK14,1.0
MARK4,1.0
MEN1,1.0
MMP11,1.0
MSS51,1.0
MYB,1.0
MYO3A,1.0
NBPF9,1.0
NFIB,1.0
NMUR2,1.0
NPIPA5,1.0
NR1H3,1.0
NTRK1,1.0
NUDT11,1.0
OBP2B,1.0
OPRD1,1.0
OR11H1,1.0
OR2J2,1.0
OR2T4,1.0
OR4C16,1.0
OR4Q3,1.0
OR5T1,1.0
OR5T2,1.0
OR7G2,1.0
OTOL1,1.0
OXCT1,1.0
PABPC1,1.0
PASK,1.0
PAX5,1.0
PCDHA4,1.0
PDCD11,1.0
PDE4C,1.0
PGM2,1.0
PHF24,1.0
PKDREJ,1.0
PLA2G2E,1.0
PLEKHA7,1.0
PODXL,1.0
POLE2,1.0
PPP2R1B,1.0
PPP4C,1.0
PRPS1L1,1.0
PSG1,1.0
PTPN11,1.0
R3HDML,1.0
RARA,1.0
RASAL1,1.0
RBM28,1.0
RBM47,1.0
RIMBP2,1.0
RNF43,1.0
RPL14,1.0
RPL22,1.0
RPUSD1,1.0
RRP36,1.0
RXFP3,1.0
RYBP,1.0
SAMD11,1.0
SCAF1,1.0
SCAF8,1.0
SELPLG,1.0
SETD1A,1.0
SLC13A2,1.0
SLC17A6,1.0
SLC28A2,1.0
SLC39A12,1.0
SLC40A1,1.0
SLC7A13,1.0
SOWAHA,1.0
SOX4,1.0
SOX9,1.0
SP8,1.0
SPON2,1.0
SRC,1.0
SRPX,1.0
SSTR4,1.0
STOX1,1.0
SUZ12,1.0
SYT8,1.0
TBCCD1,1.0
TCEB3C,1.0
TCF12,1.0
TGM1,1.0
TMEM189,1.0
TMEM247,1.0
TMPRSS2,1.0
TNIP1,1.0
TNR,1.0
TOB1,1.0
TOR3A,1.0
TRIM15,1.0
TTC14,1.0
TTC31,1.0
TULP2,1.0
UNC5B,1.0
VHL,1.0
XPOT,1.0
ZBTB22,1.0
ZNF517,1.0
ZNF787,1.0
BAGE.n,1.0
BAGE3.n-BAGE4.n-BAGE5.n,1.0
FLJ36000.n,1.0
KCNJ18.n,1.0
NKX2.1.n,1.0
RNU86.n,1.0
SELO.n,1.0
