,0
AASDH,1.0
ABHD10,1.0
ABTB1,1.0
ACAN,1.0
ACOT12,1.0
ACP6,1.0
ACSL6,1.0
ACVR2A,1.0
ADAM11,1.0
ADAM2,1.0
ADAM29,1.0
ADAMTS9,1.0
ADCK5,1.0
ADCY8,1.0
ADGB,1.0
ADGRL4,1.0
ADO,1.0
ADPRHL2,1.0
AFF4,1.0
AGAP3,1.0
AGAP7P,1.0
AGBL1,1.0
AGL,1.0
AGT,1.0
AHCTF1,1.0
AK7,1.0
AK9,1.0
AKR1C2,1.0
ALOX12B,1.0
ALPK3,1.0
ALPPL2,1.0
AMBN,1.0
AMD1,1.0
AMDHD1,1.0
ANKMY1,1.0
ANKRD30A,1.0
ANKRD30B,1.0
ANKRD36,1.0
ANKRD55,1.0
ANO8,1.0
AP3S1,1.0
AP5Z1,1.0
APBB1,1.0
AR,1.0
ARID2,1.0
ARL6,1.0
ASH1L,1.0
ASPSCR1,1.0
ASTN2,1.0
ATF7IP,1.0
ATN1,1.0
ATP10B,1.0
ATP2A1,1.0
ATP2C2,1.0
AXIN1,1.0
B3GNT6,1.0
BAP1,1.0
BCAN,1.0
BCR,1.0
BDP1,1.0
BHMT,1.0
BMPER,1.0
BRCA1,1.0
BRINP1,1.0
C10ORF12,1.0
C11ORF53,1.0
C1QB,1.0
C2ORF81,1.0
C3,1.0
C5,1.0
C6,1.0
C6ORF222,1.0
CABLES1,1.0
CACHD1,1.0
CACNA1G,1.0
CADM1,1.0
CAMSAP3,1.0
CASC5,1.0
CASP5,1.0
CBFB,1.0
CCDC102A,1.0
CCDC110,1.0
CCDC178,1.0
CCKBR,1.0
CCNL1,1.0
CD209,1.0
CDH1,1.0
CDKN1A,1.0
CEACAM7,1.0
CEBPA,1.0
CELA3A,1.0
CEMIP,1.0
CENPF,1.0
CEP164,1.0
CFAP44,1.0
CHAT,1.0
CHD3,1.0
CHRNA4,1.0
CHST5,1.0
CLCNKB,1.0
CLDN8,1.0
CLUH,1.0
CNGA2,1.0
CNTLN,1.0
CNTNAP2,1.0
CNTNAP5,1.0
COL12A1,1.0
CORO1B,1.0
CPT1A,1.0
CRX,1.0
CRYBA2,1.0
CSPG4,1.0
CTAG2,1.0
CTNNA1,1.0
CTNNA3,1.0
CTNNB1,1.0
CYP11A1,1.0
CYP11B1,1.0
CYP2A6,1.0
DAPK1,1.0
DCAF12L1,1.0
DCAF12L2,1.0
DCAF13,1.0
DCAF8L1,1.0
DCLK1,1.0
DDC,1.0
DDX10,1.0
DENND4B,1.0
DEPDC5,1.0
DHX30,1.0
DHX37,1.0
DLL4,1.0
DNAH12,1.0
DNASE2,1.0
DNMT1,1.0
DNMT3A,1.0
DOCK3,1.0
DOK2,1.0
DOT1L,1.0
DPH2,1.0
DSG2,1.0
DTD2,1.0
DYNC1I1,1.0
E2F4,1.0
ECI2,1.0
EDIL3,1.0
EFCAB3,1.0
EFCAB6,1.0
EGFR,1.0
EID3,1.0
EIF1AX,1.0
EIF3A,1.0
ELF3,1.0
ELF4,1.0
ENO1,1.0
EOMES,1.0
EPHA2,1.0
EPHA7,1.0
EPHX1,1.0
ERBB4,1.0
ERCC2,1.0
ERG,1.0
ESPN,1.0
ETV1,1.0
ETV3,1.0
ETV4,1.0
ETV5,1.0
EVPL,1.0
EZH1,1.0
FAM109A,1.0
FAM129B,1.0
FAM160B2,1.0
FAM162B,1.0
FAM171A1,1.0
FAM208B,1.0
FAM47B,1.0
FAM65B,1.0
FBN1,1.0
FFAR2,1.0
FGFR3,1.0
FLI1,1.0
FLNC,1.0
FMO4,1.0
FMR1NB,1.0
FOXA1,1.0
FPGS,1.0
FRG1,1.0
FRYL,1.0
FYCO1,1.0
FZD9,1.0
GABRA2,1.0
GALNS,1.0
GALNT18,1.0
GARS,1.0
GAS6,1.0
GBP4,1.0
GCN1,1.0
GDPD2,1.0
GIGYF2,1.0
GLTSCR1L,1.0
GLUD2,1.0
GLYATL2,1.0
GNA11,1.0
GPC5,1.0
GPR101,1.0
GPR50,1.0
GPR87,1.0
GPRC6A,1.0
GPRIN1,1.0
GPRIN2,1.0
GRIN2B,1.0
GTPBP4,1.0
GTSE1,1.0
HDAC9,1.0
HHAT,1.0
HHIPL1,1.0
HNF1A,1.0
HNRNPK,1.0
HNRNPM,1.0
HRAS,1.0
HRC,1.0
HRNR,1.0
HSD17B11,1.0
HSPA1L,1.0
HSPG2,1.0
HYDIN,1.0
IARS,1.0
IDH1,1.0
IDUA,1.0
IGF1R,1.0
IKZF1,1.0
IL1RAPL1,1.0
IL32,1.0
IQGAP3,1.0
IRF5,1.0
ITGA5,1.0
ITGAD,1.0
ITGAE,1.0
JMY,1.0
KANK3,1.0
KAT6B,1.0
KBTBD13,1.0
KCNB2,1.0
KCND2,1.0
KCNH1,1.0
KCNH5,1.0
KCNH8,1.0
KCNJ12,1.0
KCNJ3,1.0
KCNT2,1.0
KCNV2,1.0
KDM5A,1.0
KEAP1,1.0
KIF13B,1.0
KIF3C,1.0
KLRK1,1.0
KPNA5,1.0
KRT20,1.0
KRT38,1.0
KRTAP1.3,1.0
KRTAP1.5,1.0
KRTAP5.1,1.0
LACTB,1.0
LCE2A,1.0
LILRB1,1.0
LILRB2,1.0
LMTK3,1.0
LOXHD1,1.0
LRRC43,1.0
LRRC66,1.0
LTBP2,1.0
LTBP3,1.0
MAFA,1.0
MAGI3,1.0
MAP2K7,1.0
MAPK1,1.0
MAPK14,1.0
MARK4,1.0
MBD6,1.0
MECOM,1.0
MED23,1.0
MEFV,1.0
MGA,1.0
MKL1,1.0
MLLT10,1.0
MMP11,1.0
MMP3,1.0
MOV10L1,1.0
MPDZ,1.0
MPP2,1.0
MROH8,1.0
MSR1,1.0
MSS51,1.0
MTMR14,1.0
MUC12,1.0
MYB,1.0
MYBBP1A,1.0
MYH15,1.0
MYH4,1.0
MYH8,1.0
MYO5A,1.0
MYO9B,1.0
MYOM2,1.0
N4BP2,1.0
NAA25,1.0
NAB2,1.0
NALCN,1.0
NARS2,1.0
NBEA,1.0
NBN,1.0
NBPF15,1.0
NBPF9,1.0
NCOA3,1.0
NCOR1,1.0
NCR1,1.0
NEGR1,1.0
NF2,1.0
NFE2L3,1.0
NFIB,1.0
NID1,1.0
NIN,1.0
NKX2.2,1.0
NLRP3,1.0
NLRP4,1.0
NLRP6,1.0
NME8,1.0
NMUR2,1.0
NOD1,1.0
NOL9,1.0
NOTCH2,1.0
NOX5,1.0
NPIPB15,1.0
NPIPB6,1.0
NPM1,1.0
NUCB1,1.0
NUDT11,1.0
NUP188,1.0
NUP210L,1.0
NUP214,1.0
OBP2B,1.0
OCA2,1.0
OPRD1,1.0
OR10H5,1.0
OR10J1,1.0
OR11H1,1.0
OR13D1,1.0
OR2J2,1.0
OR2M3,1.0
OR2M7,1.0
OR2T8,1.0
OR4C5,1.0
OR4M1,1.0
OR4Q3,1.0
OR5D16,1.0
OR5M11,1.0
OR5T2,1.0
OR6C76,1.0
OR7G2,1.0
OR8J3,1.0
OR8K3,1.0
OTOL1,1.0
PAK3,1.0
PARD6B,1.0
PARK2,1.0
PAX5,1.0
PCDH18,1.0
PCDHA11,1.0
PCDHA8,1.0
PCDHB13,1.0
PCDHB16,1.0
PCDHB7,1.0
PCDHGA3,1.0
PCED1A,1.0
PCM1,1.0
PCSK7,1.0
PDCD11,1.0
PDE4C,1.0
PDS5A,1.0
PER3,1.0
PHF24,1.0
PIK3R3,1.0
PIM1,1.0
PKD2,1.0
PLA2G2E,1.0
PLA2G4A,1.0
PLCB1,1.0
PLCB4,1.0
PLCZ1,1.0
PLEKHA7,1.0
PLEKHH1,1.0
PLXNB1,1.0
PMS1,1.0
POLR3C,1.0
PPARG,1.0
PPM1D,1.0
PPP1R26,1.0
PPP2R1B,1.0
PPP4C,1.0
PRB4,1.0
PRC1,1.0
PRKD1,1.0
PRPS1L1,1.0
PRSS1,1.0
PRX,1.0
PSG1,1.0
PSG11,1.0
PSG6,1.0
PTK2B,1.0
PTPN14,1.0
PTPRC,1.0
PTPRJ,1.0
PTPRN2,1.0
PTPRS,1.0
QRICH2,1.0
R3HCC1L,1.0
R3HDML,1.0
RAD54L2,1.0
RAPGEF2,1.0
RARA,1.0
RASAL1,1.0
RBM15,1.0
RBM28,1.0
RBM4,1.0
RBM47,1.0
RBM6,1.0
RET,1.0
RGPD4,1.0
RGPD8,1.0
RHBDF1,1.0
RHOA,1.0
RICTOR,1.0
RINL,1.0
RIOK1,1.0
RIT1,1.0
RNF149,1.0
RNF31,1.0
RPL14,1.0
RPUSD1,1.0
RRP36,1.0
RSRC2,1.0
RTN4RL2,1.0
RUNX1,1.0
RUNX1T1,1.0
RYBP,1.0
SALL1,1.0
SAMD11,1.0
SAMD9,1.0
SCAF1,1.0
SCAF8,1.0
SDCBP,1.0
SEL1L3,1.0
SELPLG,1.0
SEMA4F,1.0
SEZ6L2,1.0
SGK223,1.0
SGSM3,1.0
SHROOM3,1.0
SIGLEC12,1.0
SIK2,1.0
SIK3,1.0
SKI,1.0
SLC13A2,1.0
SLC17A6,1.0
SLC17A8,1.0
SLC27A2,1.0
SLC28A2,1.0
SLC39A12,1.0
SLC40A1,1.0
SLC4A2,1.0
SLC7A13,1.0
SLC9A5,1.0
SLITRK4,1.0
SMAD2,1.0
SMCR8,1.0
SMG1,1.0
SNRNP200,1.0
SNTG1,1.0
SOX2,1.0
SOX9,1.0
SP8,1.0
SPAG16,1.0
SPTAN1,1.0
SRC,1.0
SREBF1,1.0
SRGAP1,1.0
SRGAP3,1.0
SRPX,1.0
SRRT,1.0
STIL,1.0
STK11,1.0
STOX1,1.0
SUFU,1.0
SUZ12,1.0
SYK,1.0
SYT3,1.0
SYT8,1.0
TAS2R16,1.0
TBCCD1,1.0
TBX3,1.0
TCF12,1.0
TESK1,1.0
TGFBR2,1.0
TGM1,1.0
THSD7B,1.0
TIGD4,1.0
TKTL2,1.0
TLE6,1.0
TLL1,1.0
TMEM184A,1.0
TMEM189,1.0
TMEM247,1.0
TMPRSS2,1.0
TNN,1.0
TNR,1.0
TOB1,1.0
TOP2A,1.0
TOP3B,1.0
TP53BP1,1.0
TP63,1.0
TRAF7,1.0
TRERF1,1.0
TRIM15,1.0
TRIM46,1.0
TRIM51,1.0
TRIOBP,1.0
TRPM1,1.0
TRPV2,1.0
TSC2,1.0
TTC31,1.0
TULP2,1.0
TYRO3,1.0
UGT2B7,1.0
UNC5B,1.0
USP32,1.0
VCAM1,1.0
VCX3B,1.0
VEGFC,1.0
VHL,1.0
VIT,1.0
VWA3B,1.0
WDFY4,1.0
WDR60,1.0
WDR81,1.0
WSCD2,1.0
WT1,1.0
WTAP,1.0
XPOT,1.0
ZBTB16,1.0
ZBTB18,1.0
ZBTB20,1.0
ZBTB22,1.0
ZDHHC11,1.0
ZEB2,1.0
ZFHX4,1.0
ZFPM1,1.0
ZNF114,1.0
ZNF14,1.0
ZNF208,1.0
ZNF215,1.0
ZNF236,1.0
ZNF24,1.0
ZNF28,1.0
ZNF281,1.0
ZNF318,1.0
ZNF486,1.0
ZNF492,1.0
ZNF502,1.0
ZNF517,1.0
ZNF521,1.0
ZNF592,1.0
ZNF598,1.0
ZNF628,1.0
ZNF687,1.0
ZNF770,1.0
ZNF777,1.0
ZNF787,1.0
ZSCAN1,1.0
ZSCAN5B,1.0
BAGE.n,1.0
BAGE3.n-BAGE4.n-BAGE5.n,1.0
FLJ36000.n,1.0
KCNJ18.n,1.0
NKX2.1.n,1.0
RNU86.n,1.0
SELO.n,1.0
